0	347	173	162	159
100	1840402	80402	24573	3414243
200	3798217	243624	61972	11453894
300	8508518	603577	159862	34020470
400	9010301	788816	141579	39424140
500	16063882	1362971	268948	93125505
600	15798669	1865425	310130	86853902
700	26423665	2454620	535314	179398903
800	24591816	2849636	415043	154179936
900	30160805	4058181	487396	220551262
1000	35831910	4832659	610354	233281068
1100	42072496	6946244	758816	283921848
1200	48850107	7567140	781576	408955714
1300	73491408	9764000	1197690	617511798
1400	64141497	10540803	964924	454601367
1500	71643804	12417101	1085558	594453845
1600	80825962	14050573	1117616	591021676
1700	90135989	15897274	1210018	770965807
1800	123241003	17776498	1278467	769778079
1900	116428451	19975727	1339375	885884853
2000	151786513	23742160	1798317	141180755
2100	166364784	26531798	1922101	685525017
2200	142692369	27637070	1478009	298318061
2300	197107266	32485320	2058072	477784222
2400	168044500	32675098	1652283	629712385
2500	183293238	35091757	1774284	458054578
2600	247384439	40141985	2275278	5299880
2700	257848761	44018134	2438156	264522721
2800	224846145	44755578	1969536	305419656
2900	239168235	48247332	2058413	512737846
3000	297089944	50854066	2115756	434315912
3100	294242049	55078976	2186583	467107332
3200	296493662	58743253	2276512	533927371
3300	385693458	66291177	2987647	160096090
3400	388036305	70498224	3028995	817943904
3500	349756856	69576918	2528012	300749272
3600	376342738	74420635	2563763	892382892
3700	480610096	80634684	2678278	132048558
3800	515403603	87738773	3471092	766717745
3900	506447246	92385004	3531384	314150930
4000	460373629	90810656	2806609	748014286
4100	565335773	103034186	3847729	455403797
4200	612222108	106779022	3814478	568269083
4300	670746486	111543959	3896357	902393094
4400	552129871	110983607	3119873	567720140
4500	625743654	117072829	3211653	266723594
4600	647271319	120654750	3305692	500022294
4700	781942204	134788404	4304052	574944893
4800	810224188	139797057	4309341	48939164
4900	673242447	135823193	3455206	994167764
5000	739808248	142596350	3770431	389774182
5100	944019600	159358219	4810052	192760062
5200	856119313	156636027	3793456	557922794
5300	838425196	158325833	3786959	161410041
5400	6761361	177143117	4901893	232501389
5500	912939847	174526676	3941167	931606677
5600	186188626	189264830	5120409	224943882
5700	117374016	185242106	4144718	508665301
5800	258109183	191445792	4147402	781425896
5900	76108996	200459397	4159903	443895940
6000	191847260	208733861	4337324	778056973
6100	445186127	211351648	4386786	247531971
6200	418980964	222387679	4532547	688577333
6300	682324754	225505477	4507043	294562781
6400	408947750	236120553	4517172	419334525
6500	664700475	244008929	4646137	867470671
6600	681474561	252196210	4700540	666672251
6700	761733287	256211544	4865068	630115859
6800	866340525	267592164	4893288	935564023
6900	700980908	270200946	4910210	425511252
7000	248072878	311054475	6827760	640669484
7100	226924950	291329843	5101102	654633930
7200	434544437	316928673	6653053	776112735
7300	278913504	309126904	5300325	808299907
7400	397766166	315937556	5304565	280067285
7500	338410883	319723043	5422706	485332413
7600	657274480	329029753	5452433	899684238
7700	602331696	343843488	5597627	973871205
7800	74981226	374098387	7276452	551973941
7900	828336211	355067558	5719088	724105682
8000	705641908	362919442	5872082	567466594
8100	950656638	381825858	5785265	553777322
8200	125653250	393254853	6033752	447667659
8300	338191396	395973864	6050664	129947861
8400	288026141	410772101	6056640	351995505
8500	147769024	443776575	7798649	916311650
8600	400988762	427346852	6280285	996019628
8700	716418994	435393962	6365476	284819643
8800	866393861	478260228	6387350	325684630
8900	827099404	458942888	6498239	735779578
9000	908195562	491310668	6517416	174882163
9100	557605602	507178235	6700249	55693425
9200	282970148	487392459	6731748	862093828
9300	590362872	497312037	6763827	745139986
9400	894049222	730228434	8623182	517211165
